Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Female,Married - spouse present,Black only,United States,State government,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,2100.0,2000+,3559.6786
Male,Divorced,White only,United States,State government,Construction and extraction occupations,,,"Some college, no degree",Adult civilian household member,500.0,500-749,1826.9119
Female,Married - spouse present,White only,United States,State government,Management occupations,,,"Some college, no degree",Adult civilian household member,1076.0,1000-1249,4321.9408
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,1360.0,1250-1499,4779.3642
Female,Married - spouse present,White only,United States,Private nonprofit,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,210.0,<250,961.3875
Male,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,2440.0,2000+,1072.5427
Female,Never married,White only,United States,State government,Production occupations,Enrolled,Full time,10th grade,Adult civilian household member,100.0,<250,1089.4227
Female,Never married,Black only,,State government,Healthcare support occupations,Not enrolled,,Master's degree,Adult civilian household member,760.0,750-999,6704.3679
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,,,"Some college, no degree",Adult civilian household member,1040.0,1000-1249,851.6938
Male,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,High school graduate,Adult civilian household member,1520.0,1500-1999,857.0126
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,1980.0,1500-1999,5852.0608
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,,,High school graduate,Adult civilian household member,1380.0,1250-1499,5758.5035
Female,Married - spouse present,White only,,Local government,Personal care and service occupations,Enrolled,Part time,"12th grade, no diploma",Adult civilian household member,400.0,250-499,5094.4848
Male,Divorced,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1210.0,1000-1249,4912.4799
Female,Divorced,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,2120.0,2000+,1017.2245
Male,Never married,Asian only,,State government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,866.0,750-999,3888.1596
Female,Divorced,White only,United States,Local government,Management occupations,,,"Some college, no degree",Adult civilian household member,2500.0,2000+,550.3541
Male,Never married,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1340.0,1250-1499,4204.3416
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,670.0,500-749,4327.3289
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1310.0,1250-1499,5529.8927
Male,Never married,White only,United States,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,660.0,500-749,1055.8785
Female,Never married,White only,,State government,Food preparation and serving related occupations,Not enrolled,,5th-6th grade,Adult civilian household member,800.0,750-999,1062.4383
Female,Never married,White only,,State government,Food preparation and serving related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,500.0,500-749,5089.8974
Male,Divorced,White only,,State government,Food preparation and serving related occupations,Not enrolled,,7th-8th grade,Adult civilian household member,1460.0,1250-1499,5449.3762
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1720.0,1500-1999,1066.3637
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,962.0,750-999,718.5581
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",,,9th grade,Adult civilian household member,622.0,500-749,1500.6934
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1200.0,1000-1249,4267.8972
Male,Never married,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,High school graduate,Adult civilian household member,46.0,<250,442.4512
Male,Married - spouse present,White only,United States,Private nonprofit,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,462.0,250-499,4107.2543
Female,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,996.0,750-999,4171.9964
Male,Married - spouse absent,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,1290.0,1250-1499,4565.3634
Male,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,Master's degree,Adult civilian household member,270.0,250-499,3555.7321
Female,Divorced,White only,United States,State government,Healthcare practitioner and technical occupations,,,Master's degree,Adult civilian household member,384.0,250-499,2913.2336
Female,Married - spouse present,White only,United States,State government,Education instruction and library occupations,Enrolled,Full time,Master's degree,Adult civilian household member,626.0,500-749,2188.5667
Female,Divorced,White only,United States,State government,Healthcare support occupations,,,9th grade,Adult civilian household member,180.0,<250,1050.4908
Female,Divorced,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,8115.06,2000+,3984.0283
Male,Divorced,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,1500.0,1500-1999,4424.0819
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3460.0,2000+,2792.7585
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,2620.0,2000+,3070.4324
Female,Never married,White only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,866.0,750-999,3397.1396
Female,Never married,White only,United States,State government,Management occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,120.0,<250,3397.1396
Female,Married - spouse present,White only,United States,Local government,"Life, physical, and social science occupations",,,Master's degree,Adult civilian household member,720.0,500-749,4200.5837
Female,Divorced,Black only,United States,Federal government,Healthcare support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,538.0,500-749,8026.7804
Male,Divorced,White only,United States,Private for-profit,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,2160.0,2000+,1624.2243
Male,Divorced,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,1100.0,1000-1249,1646.1069
Female,Never married,White only,United States,State government,Personal care and service occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,3205.794
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,2668.4645
Male,Never married,White only,United States,Local government,Building and grounds cleaning and maintenance occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,580.0,500-749,742.9875
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3460.0,2000+,3189.706
Female,Married - spouse present,White only,United States,Federal government,Office and administrative support occupations,Not enrolled,,Master's degree,Adult civilian household member,2180.0,2000+,3500.7829
Male,Never married,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1440.0,1250-1499,5743.3681
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1630.0,1500-1999,4663.785
Male,Divorced,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,8115.06,2000+,605.0976
Male,Divorced,White only,United States,State government,Production occupations,,,High school graduate,Adult civilian household member,1780.0,1500-1999,1076.4071
Male,Never married,White-HP,United States,Private for-profit,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,3200.0,2000+,1217.0346
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1100.0,1000-1249,826.9024
Male,Never married,Asian only,,State government,Personal care and service occupations,Not enrolled,,High school graduate,Adult civilian household member,1000.0,1000-1249,675.1529
Male,Divorced,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1730.0,1500-1999,4452.2426
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,1058.0,1000-1249,4433.6133
Male,Married - spouse present,White only,United States,Federal government,Management occupations,,,Professional degree,Adult civilian household member,3840.0,2000+,367.9037
Female,Divorced,White only,United States,State government,Sales and related occupations,,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,3273.042
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,500.0,500-749,1640.4257
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1920.0,1500-1999,1483.1568
Female,Separated,American Indian or Alaskan Native only,,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1000.0,1000-1249,6910.1794
Male,Widowed,White only,United States,State government,Production occupations,,,High school graduate,Adult civilian household member,1630.0,1500-1999,3596.102
Male,Never married,White only,United States,Federal government,Education instruction and library occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,962.0,750-999,5591.0978
Female,Married - spouse present,White only,United States,State government,"Life, physical, and social science occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,1790.0,1500-1999,4594.3349
Male,Married - spouse present,White only,United States,Local government,"Installation, maintenance, and repair occupations",Not enrolled,,Associate degree - occupational,Adult civilian household member,1920.0,1500-1999,4553.624
Female,Never married,White only,,State government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,680.0,500-749,3867.7766
Male,Married - spouse present,White only,,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,900.0,750-999,5488.0891
Female,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,5th-6th grade,Adult civilian household member,722.0,500-749,4265.2381
Female,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,480.0,250-499,4198.381
Female,Never married,White only,United States,Private nonprofit,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,924.0,750-999,5761.3179
Male,Never married,White only,United States,Local government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,720.0,500-749,5346.3517
Female,Never married,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2500.0,2000+,5374.1373
Female,Divorced,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1076.0,1000-1249,3839.1354
Female,Married - spouse present,White only,United States,Private nonprofit,Office and administrative support occupations,,,High school graduate,Adult civilian household member,300.0,250-499,1937.9367
Female,Married - spouse present,White only,United States,State government,Management occupations,,,Associate degree - occupational,Adult civilian household member,528.0,500-749,606.226
Male,Married - spouse present,White only,United States,Federal government,Healthcare practitioner and technical occupations,,,Associate degree - academic,Adult civilian household member,2460.0,2000+,5178.5518
Female,Married - spouse present,White only,United States,Federal government,Management occupations,,,Bachelor's degree,Adult civilian household member,1770.0,1500-1999,5061.5587
Female,Never married,Black only,United States,State government,Management occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,2500.0,2000+,7036.4062
Male,Divorced,White only,United States,State government,Computer and mathematical occupations,,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,4579.5765
Female,Divorced,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1350.0,1250-1499,4266.561
Female,Married - spouse present,Black only,United States,Private for-profit,Business and financial operations occupations,,,"Some college, no degree",Adult civilian household member,1240.0,1000-1249,4035.4322
Male,Never married,Black only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,714.0,500-749,7609.9251
Male,Never married,Black only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,7078.8986
Female,Never married,Black only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Master's degree,Adult civilian household member,1154.0,1000-1249,7790.5072
Male,Never married,White only,United States,State government,Education instruction and library occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,650.0,500-749,483.3525
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1026.0,1000-1249,483.3525
Female,Married - spouse present,Asian only,United States,State government,Business and financial operations occupations,Not enrolled,,Master's degree,Adult civilian household member,8115.06,2000+,5713.0619
Male,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,8115.06,2000+,4717.8026
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,5386.7915
Female,Married - spouse present,White-Black,United States,State government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,2880.0,2000+,6179.3681
Female,Married - spouse present,White only,United States,State government,Management occupations,,,Associate degree - academic,Adult civilian household member,2560.0,2000+,4379.8785
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Associate degree - academic,Adult civilian household member,2780.0,2000+,3634.5541
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,3293.2463
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,350.0,250-499,3747.3935
Male,Never married,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,10th grade,Adult civilian household member,600.0,500-749,1165.8288
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1000.0,1000-1249,3127.5896
Male,Married - spouse present,White only,United States,State government,"Life, physical, and social science occupations",,,Associate degree - occupational,Adult civilian household member,1260.0,1250-1499,1478.1585
Female,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,,,Bachelor's degree,Adult civilian household member,494.0,250-499,1288.5672
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,962.0,750-999,3531.2144
Female,Widowed,White only,United States,State government,Office and administrative support occupations,,,"Some college, no degree",Adult civilian household member,600.0,500-749,4411.4133
Female,Widowed,White only,United States,State government,Sales and related occupations,,,High school graduate,Adult civilian household member,652.0,500-749,1447.5732
Female,Never married,Asian only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,High school graduate,Adult civilian household member,150.0,<250,3646.9907
Female,Never married,Asian only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,10th grade,Adult civilian household member,180.0,<250,2885.5695
Male,Never married,Asian only,United States,State government,Healthcare support occupations,Enrolled,Full time,High school graduate,Adult civilian household member,300.0,250-499,3294.1007
Female,Divorced,Asian only,,State government,Management occupations,Not enrolled,,9th grade,Adult civilian household member,550.0,500-749,3838.834
Female,Divorced,Asian only,,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,720.0,500-749,7315.0776
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1440.0,1250-1499,5451.9409
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1580.0,1500-1999,5117.091
Female,Never married,Black only,United States,State government,Business and financial operations occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1840.0,1500-1999,3765.3926
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1320.0,1250-1499,4170.3831
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1000.0,1000-1249,4729.1139
Male,Never married,White only,United States,Local government,Protective service occupations,Not enrolled,,High school graduate,Adult civilian household member,1220.0,1000-1249,5808.514
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,11th grade,Adult civilian household member,180.0,<250,5288.7583
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,Associate degree - academic,Adult civilian household member,2260.0,2000+,5502.5427
Male,Never married,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,High school graduate,Adult civilian household member,1580.0,1500-1999,4321.0094
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,11th grade,Adult civilian household member,1178.0,1000-1249,1762.4575
Female,Married - spouse present,White only,,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,114.0,<250,2081.8251
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,646.0,500-749,5726.841
Female,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,11th grade,Adult civilian household member,570.0,500-749,4684.5335
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1084.0,1000-1249,4384.6078
Male,Married - spouse present,White only,United States,Local government,Management occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1400.0,1250-1499,510.4753
Female,Married - spouse present,White only,United States,Federal government,Business and financial operations occupations,Not enrolled,,Master's degree,Adult civilian household member,1380.0,1250-1499,629.2756
Female,Never married,Black only,,Local government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,876.0,750-999,4760.197
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,Master's degree,Adult civilian household member,2400.0,2000+,646.7744
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,Master's degree,Adult civilian household member,1440.0,1250-1499,670.5412
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,960.0,750-999,3507.2975
Female,Never married,Black only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,600.0,500-749,2370.5489
Male,Never married,Black only,United States,Federal government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,216.0,<250,2162.3407
Female,Never married,Black only,United States,State government,Healthcare support occupations,Not enrolled,,High school graduate,Adult civilian household member,196.0,<250,2451.489
Female,Never married,Black only,United States,Private nonprofit,Education instruction and library occupations,,,Master's degree,Adult civilian household member,1350.0,1250-1499,4171.3413
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Professional degree,Adult civilian household member,3200.0,2000+,4408.5469
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,High school graduate,Adult civilian household member,2300.0,2000+,2481.3623
Male,Never married,Asian only,,State government,Production occupations,,,Bachelor's degree,Adult civilian household member,782.0,750-999,4218.609
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,,,High school graduate,Adult civilian household member,1120.0,1000-1249,3313.3926
Male,Married - spouse present,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,2760.0,2000+,4709.6601
Female,Divorced,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,2855.7994
Male,Married - spouse absent,Asian only,United States,Local government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,8115.06,2000+,323.6857
Female,Divorced,Black only,United States,State government,Sales and related occupations,,,Associate degree - occupational,Adult civilian household member,558.0,500-749,400.1098
Female,Divorced,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,904.0,750-999,4729.1139
Male,Never married,White only,United States,State government,Education instruction and library occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,150.0,<250,5818.4129
Female,Divorced,White only,United States,State government,Office and administrative support occupations,,,Bachelor's degree,Adult civilian household member,880.0,750-999,4717.8093
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1154.0,1000-1249,1805.2773
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1620.0,1500-1999,1764.1822
Male,Never married,Black only,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,2100.0,2000+,7449.3402
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,1880.0,1500-1999,4941.184
Male,Never married,White only,United States,State government,Construction and extraction occupations,Enrolled,Full time,"12th grade, no diploma",Adult civilian household member,480.0,250-499,5808.514
Male,Never married,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,962.0,750-999,5272.6699
Female,Never married,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,7th-8th grade,Adult civilian household member,450.0,250-499,3555.4301
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,368.0,250-499,3617.2032
Female,Never married,Black only,United States,State government,Healthcare support occupations,,,"Some college, no degree",Adult civilian household member,1120.0,1000-1249,5037.7571
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,"Some college, no degree",Adult civilian household member,720.0,500-749,1913.4342
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,High school graduate,Adult civilian household member,670.0,500-749,1570.2047
Male,Married - spouse present,Asian only,,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2700.0,2000+,7099.3988
Female,Married - spouse present,Asian only,,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,192.0,<250,4271.9622
Female,Married - spouse present,White only,United States,State government,Management occupations,,,High school graduate,Adult civilian household member,1440.0,1250-1499,4469.8901
Male,Divorced,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Master's degree,Adult civilian household member,1920.0,1500-1999,617.9182
Male,Never married,White only,United States,Local government,Protective service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1480.0,1250-1499,6330.3028
Male,Never married,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,760.0,750-999,2672.0488
Male,Never married,White only,United States,State government,Protective service occupations,Enrolled,Full time,11th grade,Adult civilian household member,116.0,<250,2672.0488
Female,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,150.0,<250,3508.8942
Male,Divorced,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,1250.0,1250-1499,1770.9729
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1146.0,1000-1249,4369.1508
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,960.0,750-999,4205.7426
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,750.0,750-999,2867.7513
Male,Never married,White only,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,990.0,750-999,4953.614
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,300.0,250-499,5417.6948
Male,Never married,White only,,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,144.0,<250,4820.1249
Male,Never married,White only,,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,120.0,<250,4409.1636
Female,Divorced,White only,United States,State government,Business and financial operations occupations,,,Associate degree - academic,Adult civilian household member,950.0,750-999,3509.8026
Male,Married - spouse present,Asian only,,Private for-profit,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3080.0,2000+,4174.3182
Female,Never married,White only,,Private nonprofit,Healthcare support occupations,Not enrolled,,"12th grade, no diploma",Adult civilian household member,620.0,500-749,4113.1542
Female,Never married,White only,,State government,Production occupations,Not enrolled,,"12th grade, no diploma",Adult civilian household member,456.0,250-499,4113.1542
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,500.0,500-749,3192.7871
Female,Divorced,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,636.0,500-749,3374.5245
Female,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,636.0,500-749,3374.5245
Female,Never married,Black only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,480.0,250-499,7071.7405
Male,Divorced,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,2424.1512
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,1058.0,1000-1249,3766.1414
Male,Married - spouse present,White only,,State government,Community and social service occupations,Not enrolled,,Master's degree,Adult civilian household member,2200.0,2000+,6235.2274
Male,Married - spouse present,White only,,Private for-profit,"Installation, maintenance, and repair occupations",Not enrolled,,Master's degree,Adult civilian household member,4040.0,2000+,6235.2274
Male,Married - spouse present,Black only,,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,350.0,250-499,993.2905
Female,Never married,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1210.0,1000-1249,1451.1621
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1380.0,1250-1499,1148.8164
Female,Widowed,Black only,United States,State government,Healthcare support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1540.0,1500-1999,2157.8117
Female,Married - spouse present,White only,United States,Local government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,328.0,250-499,1847.0839
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2400.0,2000+,4620.0497
Female,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Full time,11th grade,Adult civilian household member,92.0,<250,3951.3207
Male,Never married,White only,United States,State government,Office and administrative support occupations,,,9th grade,Adult civilian household member,92.0,<250,3379.992
Male,Separated,White only,United States,State government,Protective service occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,268.0,250-499,2588.2673
Female,Widowed,White only,United States,State government,Healthcare support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,480.0,250-499,2372.105
Male,Never married,White only,United States,State government,Healthcare support occupations,Not enrolled,,High school graduate,Adult civilian household member,640.0,500-749,1875.9735
Female,Married - spouse present,White only,United States,Local government,Computer and mathematical occupations,,,Bachelor's degree,Adult civilian household member,866.0,750-999,3204.055
Male,Married - spouse present,White only,United States,Private nonprofit,Computer and mathematical occupations,,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,3906.9019
Female,Married - spouse present,White only,United States,State government,Healthcare support occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,150.0,<250,1903.1941
Male,Never married,White only,United States,Local government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,932.0,750-999,1625.4411
Male,Never married,White only,United States,Private nonprofit,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,6913.4204
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1440.0,1250-1499,4097.0901
Male,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,1080.0,1000-1249,5576.1698
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,Associate degree - occupational,Adult civilian household member,1280.0,1250-1499,5238.879
Female,Married - spouse present,White only,United States,State government,Community and social service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,4180.5912
Male,Married - spouse present,White only,,State government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,2300.0,2000+,4800.9086
